NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,ADAPTA COLOR FRANCE, 96 BOULEVARD MARIUS VIVIER-MERLE 69003 LYON,69003,844513.1798166257,6518859.4296478275
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,EUROCER, 27 RUE MAURICE FLANDIN 69003 LYON,69003,844826.44,6519608.73
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,KEY EAST FRANCE, 62 RUE DE BONNEL 69003 LYON,69003,843730.4404804292,6519706.148214384
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,SUN WATER FRANCE,BUREAU 6 - 20 EME ETAGE 129 RUE SERVIENT 69003 LYON,69003,844088.9707284017,6519612.251075809
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),FARROW AND BALL LIMITED, 24 COURS DE LA LIBERTE 69003 LYON,69003,843172.579239123,6519526.706558527
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),CHEVALIER FRERES, 28 RUE SERVIENT 69003 LYON,69003,843282.1546863486,6519489.052889453
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),CASABATI, 12 RUE DE LA PART-DIEU 69003 LYON,69003,843163.7591815542,6519391.537285264
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),CHALLENGE INVEST, 27 RUE MAURICE FLANDIN 69003 LYON,69003,844826.4431133934,6519608.729785761
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),ALYMED, 107 AVENUE MARECHAL DE SAXE 69003 LYON,69003,843486.1882112629,6519395.402652104
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),HOME CONCEPT, 97 AVENUE FELIX FAURE 69003 LYON,69003,844474.567839766,6518818.308949758
47.52B,Commerce de detail de quincaillerie peintures et verres en grandes surfaces (400 m² et plus),COBALT, 41 COURS DOCTEUR LONG 69003 LYON,69003,846413.8900217372,6518373.842590511
47.53Z,Commerce de detail de tapis moquettes et revetements de murs et de sols en magasin specialise,FOUCRAY DECO, 197 RUE VENDOME 69003 LYON,69003,843536.8694664573,6519509.002154688
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CVA, 4 IMPASSE D'YPRES 69004 LYON,69004,841111.6466408907,6522071.353613935
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,ZOLPAN, 17 QUAI JOSEPH GILLET 69004 LYON,69004,840846.8143166831,6520925.918902464
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),LA DROGUERIE, 137 BOULEVARD DE LA CROIX-ROUSSE 69004 LYON,69004,842058.2404471035,6521081.816583618
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),GROUPE LLP PRODUCTION, 3 BOULEVARD DE LA CROIX-ROUSSE 69004 LYON,69004,841148.72,6520818.0
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),QUINCAILLERIE BLONDET, 7 PLACE DE LA CROIX-ROUSSE 69004 LYON,69004,842364.6728643118,6521225.105217247
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),RHONE FENETRES PORTES CONFORT, 8 RUE DE NUITS 69004 LYON,69004,842580.717657692,6521471.057021255
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,COSTA RENOVATION, 16 QUAI ROMAIN ROLLAND 69005 LYON,69005,842143.5418427065,6519792.036405213
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BDC, 34 RUE DE LA QUARANTAINE 69005 LYON,69005,841591.1241119301,6518654.130463174
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EXLL-EXPORT LOGS & LUMBERS, 2 PLACE SAINT JEAN 69005 LYON,69005,841961.6717225385,6519520.677166286
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,APTI-BAT, 99 MTE DE CHOULANS 69005 LYON 5EME,69005,0,0
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LABEX GMBH,MR MERZ ALOYSIUS 13 RUE SAINT GEORGES 69005 LYON,69005,841885.2123432338,6519313.520836981
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GS PRO, 7 RUE TRONCHET 69006 LYON,69006,843315.0059695586,6520559.086698786
