NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
46.73A,PBM DISTRIBUTION,BATIMENT CEDRE 2,97,ALLEE,ALEXANDRE BORODINE,69800,SAINT-PRIEST,850450.7631369395,6514254.714704251
46.73A,F BERNARD SA,"",45,RUE,FRANCOIS MERMET,69160,TASSIN-LA-DEMI-LUNE,837330.3535475583,6519216.33604631
46.73A,BRT EURL,"",14,CHEMIN,DE PUTET,69230,SAINT-GENIS-LAVAL,839368.9973220831,6512685.27328169
46.73A,F BERNARD SA,"",12,RUE,DE LA CHARITE,69002,LYON,842452.2327201582,6518943.207037636
46.73A,ECO RENOV EL,"",13,RUE,DES EMERAUDES,69006,LYON,844614.3382271267,6520568.582376231
46.73A,DOMELEZIA,"",45,COURS,ARISTIDE BRIAND,69300,CALUIRE-ET-CUIRE,843515.7650535041,6522321.527430261
46.73A,ARC MODULAIRE,"",41,RUE,MARYSE BASTIE,69008,LYON,845723.1734057289,6517180.82036806
46.73A,VILVERT MATERIAUX,PRE CHENAVAY,"","",,69610,SAINTE FOY L'ARGENTIERE,0,0
46.73A,CODA CORP,"",12,RUE,DE LA PART-DIEU,69003,LYON,843163.7591815542,6519391.537285264
46.73A,LOGISTIQUE PALETTES,"",9,RUE,JACQUES MONOD,69680,CHASSIEU,852464.9765104839,6516692.612467292
46.73A,RESO LPI,ZI ARNAS NORD,27,IMP,GRANGE MORIN,69400,ARNAS,0,0
46.73A,[ND],[ND],[ND],[ND],[ND],[ND],RILLIEUX-LA-PAPE,[ND],[ND]
46.73A,CIFFREO & BONA,ZI PARC D ACTIVITES ACTI NORD,"",RUE,AMPERE,69730,GENAY,841219.7543436665,6534249.429169423
46.73A,P. BILLAT,"",160,AVENUE,MARCEL CACHIN,69120,VAULX-EN-VELIN,850609.4625523284,6522234.016612509
46.73A,AGENCE CUESTA,BATIMENT I,4,PLACE,DES VERGERS,69530,BRIGNAIS,836881.4069018862,6509644.315813426
46.73A,ARTICOP,"",19,AVENUE,DE MONTMARTIN,69960,CORBAS,849634.0629997514,6510520.104899893
46.73A,BOURG MATERIAUX,"",414,AVENUE,DE LA PLAGE,69400,VILLEFRANCHE-SUR-SAONE,835336.408463369,6543844.696503466
46.73A,TENHU,"",36,AVENUE,GAMBETTA,69250,NEUVILLE-SUR-SAONE,842971.4383755154,6531512.853232253
46.73A,TOUTES LES PORTES T.L.P,"",30,RUE,PAUL ET MARC BARBEZAT,69150,DECINES-CHARPIEU,850763.5945057697,6519510.017270764
46.73A,"MB ""PARINATUS""","",254,RUE,VENDOME,69003,LYON,843572.0013307976,6519197.130395543
46.73A,ESPRIT BAIES,"",1,RUE,DE L’AIGUE,69780,SAINT-PIERRE-DE-CHANDIEU,856315.3962484901,6508769.062097908
46.73A,ISOFULL,LA TOUR,15,AVENUE,GEORGES ROUGE,69120,VAULX-EN-VELIN,849196.8513690614,6522471.7574930675
46.73A,COBOIS SARL,"",24,AVENUE,EDOUARD AYNARD,69130,ECULLY,838226.1542563601,6521327.177469104
46.73A,MARAZZI FRANCE TRADING,113-117,113,AVENUE,JEAN JAURES,69007,LYON,843101.3993826942,6517570.685793601
46.73A,KRANNICH SOLAR,"",12,RUE,DU BOIS BARON,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
46.73A,MAXS IMPORT,"",49,RUE,AUDIBERT ET LAVIROTTE,69008,LYON,844513.2876098285,6517015.0316590015
46.73A,[ND],[ND],[ND],[ND],[ND],[ND],LYON,[ND],[ND]
46.73A,EXCEL MENUISERIES,"",27,RUE,MAURICE FLANDIN,69003,LYON,844826.4431133934,6519608.729785761
46.73A,MDA CONSTRUCTION,"",3,ALLEE,JOSEPH MUNTZ,69200,VENISSIEUX,0,0
46.73A,BM DIFFUSION,"",34,PLACE,DES MAISONS NEUVES,69100,VILLEURBANNE,845911.8505181683,6519095.473420032
46.73A,FENETRES IMMOBILIER ISOLATION CONFORT,"",7,RUE,DES AULNES,69410,CHAMPAGNE-AU-MONT-D'OR,838091.3593196332,6524247.624923659
46.73A,LIM CONSTRUCTION,"",17,RUE,DE LA FRATERNELLE,69009,LYON,840178.39,6520388.87
46.73A,DISTRIBUTION MATERIAUX BOIS PANNEAUX - D.M.B.P.,PARC D'ACTIVITES CHAMP DOLIN,"",RUE,CHAMP DOLIN,69800,SAINT-PRIEST,852935.5304678259,6514178.454370315
46.73A,RD NEGOCE,ETAGE 1,71,RUE,DE LA SOUS-PREFECTURE,69400,VILLEFRANCHE-SUR-SAONE,832947.1,6544685.98
46.73A,IPT FRANCE,"",4,RUE,DES LAZARISTES,69440,MORNANT,830455.7869369303,6503244.7264863085
46.73A,SOCIETE DE DIFFUSION J.AMET,"",16,RUE,DES CERISIERS,69160,TASSIN-LA-DEMI-LUNE,837714.4833569434,6519561.180276504
46.73A,PHV MAT,ZA DU PETIT PONT,873,AVENUE,DES HAUTS DU LYONNAIS,69850,SAINT-MARTIN-EN-HAUT,820964.2430381962,6507599.353248882
46.73A,THOMAS SOGRAMA MATERIAUX,"","",LD,LES CHANTIERES,69440,CHABANIERE,0,0
46.73A,COFORET,"",1227,RUE,CENTRALE,69870,LAMURE-SUR-AZERGUES,815286.8929148607,6551926.61167605
46.73A,PLATTARD CARRELAGES,VILLEFRANCHE SUR SAONE,"",AVENUE,DE L’EUROPE,69400,VILLEFRANCHE-SUR-SAONE,834868.1537088276,6544966.668498964
46.73A,PLATTARD CARRELAGES,"",46,AVENUE,MARECHAL DE SAXE,69006,LYON,843350.8687860058,6520028.956905506
46.73A,PLATTARD CARRELAGES,"",118,RUE,PASTEUR,69780,TOUSSIEU,853437.896698083,6509533.372620316
46.73A,PLATTARD CARRELAGES,LIEUDIT BEAUVERSANT - RD 42,"",ROUTE,DE BRIGNAIS,69230,SAINT-GENIS-LAVAL,837602.7073002381,6513511.204612396
46.73A,PLATTARD CARRELAGES,"",676,ROUTE,DE LYON,69380,LOZANNE,831041.3894423695,6529843.631591125
46.73A,CUPA PIERRES DISTRIBUTION,"",8,IMPASSE,LOUIS DE BROGLIE,69740,GENAS,853811.3005209528,6515793.742338638
46.73A,OLLIER BOIS,"","","",REBE,69550,AMPLEPUIS,0,0
46.73A,ETS CHARBONNIER,"","","",LE GRAVIER,69870,SAINT-NIZIER-D AZERGUES,0,0
46.73A,LEVIAT,LOTISSEMENT LES TACHES,"",RUE,DU LUXEMBOURG,69330,MEYZIEU,857510.8957324766,6519755.604902114
46.73A,MAURIS BOIS,"",4,IMPASSE,LIONEL TERRAY,69330,MEYZIEU,856869.4024284325,6520950.575780818
46.73A,HORMANN FRANCE SA,SYNTHEX PARC,165,RUE,HELENE BOUCHER,69330,PUSIGNAN,862115.223489086,6520235.237378567
46.73A,GAM,PONT TRAMBOUZE,15,LD,RAMBERTON,69240,COURS,0,0
46.73A,PLATTARD NEGOCE,"",414,AVENUE,DE LA PLAGE,69400,VILLEFRANCHE-SUR-SAONE,835336.408463369,6543844.696503466
46.73A,EURO-CEM FRANCE,"",15,RUE,CARNOT,69190,SAINT-FONS,844431.79,6513772.64
46.73A,PERUGINO SERVICES,"",64,RUE,WALDECK ROUSSEAU,69006,LYON,844407.79,6520020.08
46.73A,AU COEUR DE LA FENETRE,"",537,AVENUE,JOSEPH BALLOFFET,69400,VILLEFRANCHE-SUR-SAONE,832211.4223381269,6545332.365826281
46.73A,PLATTARD NEGOCE,"",40,RUE,GABRIEL VOISIN,69400,VILLEFRANCHE-SUR-SAONE,834767.1952420305,6543460.1206270335
46.73A,PLATTARD NEGOCE,SAINT LAURENT D OINGT VAL D OINGT,"","",ZA LES PLAINES,69620,VAL D'OINGT,0,0
46.73A,PLATTARD NEGOCE,BELLEVILLE,111,"",GRANGE BERCHET,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
46.73A,SAGRA,"",1685,AVENUE,DU FOREZ,69590,SAINT-SYMPHORIEN-SUR-COISE,812309.7500435691,6504458.15052928
46.73A,INSTALLUX SA,"","",CHEMIN,DU BOIS ROND,69720,SAINT-BONNET-DE-MURE,857550.1737075362,6513282.983841155
46.73A,SHOWROOM BEAULIEU,"",122,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,853889.52,6514221.5
46.73A,DISTRIBUTION AMENAGEMENT ET ISOLATION,ZAC DU CHAMPS DOLIN,10,RUE,AIME COTTON,69800,SAINT-PRIEST,852732.3656815354,6513929.787943881
46.73A,DISTRIBUTION AMENAGEMENT ET ISOLATION,"",47,CHE,DES SOURCES,69230,SAINT-GENIS-LAVAL,0,0
46.73A,LITT DIFFUSION SA,"","",RUE,DE L’ECOSSAIS,69400,LIMAS,833851.8670404982,6543295.162718473
46.73A,LITT DIFFUSION SA,"",63,CHEMIN,DE GENAS,69800,SAINT-PRIEST,852224.7893627677,6514503.71668864
46.73A,SUNCLEAR,ZAC DES GAULNES,1560,AVENUE,HENRI SCHNEIDER,69330,JONAGE,858251.300460062,6521684.587525121
46.73A,PORCELANOSA FRANCE,RN6,10,AVENUE,GENERAL DE GAULLE,69410,CHAMPAGNE-AU-MONT-D'OR,838584.135699007,6524120.560868009
46.73A,PORCELANOSA FRANCE,"",37,COURS,DE LA LIBERTE,69003,LYON,843210.4059373956,6519441.723611054
46.73A,BMRA,RN6,15,AVENUE,GENERAL DE GAULLE,69410,CHAMPAGNE-AU-MONT-D'OR,838521.207484185,6524154.906306624
46.73A,GREENBAT,"",21,RUE,D'ALGERIE,69001,LYON,842394.14,6520323.7
46.73A,BAMBOO FRANCE,"",16,RUE,DU BOIS BARON,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
46.73A,GIRARDON MATERIAUX,"",10,ALLEE,IRENE JOLIOT CURIE,69800,SAINT-PRIEST,850453.009699089,6514960.267145102
46.73A,GIRARDON MATERIAUX,ZA DE VERENAY,"",LD,CHAVAILLON ET CHATELON,69420,AMPUIS,0,0
46.73A,GIRARDON MATERIAUX,ZONE D'ACTIVITES DES SABLES,15,ROUTE,DES SABLES,69630,CHAPONOST,837430.0033745588,6513636.9670925215
46.73A,LARIVIERE,"",21,CHEMIN,DES MURIERS,69740,GENAS,854403.7992849024,6514663.759466544
46.73A,BMCE,"","",AVENUE,PAUL KRUGER,69100,VILLEURBANNE,847627.7491545415,6519050.424151377
46.73A,SOCIETE INDUSTRIELLE DE L'OUEST DES PRODUITS ISOLANTS - OUEST ISOL,"",41,BOULEVARD,DES DROITS DE L'HOMME,69120,VAULX-EN-VELIN,850272.2498781348,6519338.7810772965
46.73A,SAMSE,ZONE INDUSTRIELLE,"","",FAVIER,69230,SAINT-GENIS-LAVAL,0,0
46.73A,SAMSE,"",2,AVENUE,GABRIEL PERI,69960,CORBAS,849775.5187804278,6511010.211733674
46.73A,SAMSE,ZI DU MARIAGE - VOIE C,21,RUE,DES BRUYERES,69330,PUSIGNAN,861589.4974761535,6520392.890561675
46.73A,SAMSE,"",46,RUE,LAURE DIEBOLD,69009,LYON,839652.6011679178,6521507.22181403
46.73A,SAMSE,"",31,RUE,CHAMP DOLIN,69800,SAINT-PRIEST,852858.6401623297,6514009.578503273
46.73A,SAMSE,"",64,AVENUE,FRANKLIN ROOSEVELT,69120,VAULX-EN-VELIN,850540.5705175487,6519932.327081209
46.73A,BMRA,"","",LD,LES FAVIERES,69380,LISSIEU,0,0
46.73A,CERAM CENTER,"",4,CHEMIN,DE SACUNY,69530,BRIGNAIS,837773.09,6510299.28
46.73A,ENZA DECO,"",231,ROUTE,NATIONALE 6,69720,SAINT-BONNET-DE-MURE,855610.55,6513422.83
46.73A,APH-INDUSTRIE,"",320,AVENUE,BERTHELOT,69008,LYON,845096.2558929853,6517022.562855256
46.73A,BMRA,ZONE INDUST.NORD,127,RUE,DES PEPINIERES,69400,ARNAS,833424.3020843784,6547634.250695425
46.73A,BMRA,"",10,ROUTE,NATIONALE,69330,PUSIGNAN,859355.8254349494,6519903.444470076
46.73A,BMRA,"",8,AVENUE,MARCELIN BERTHELOT,69520,GRIGNY,839267.0831196925,6501739.00941064
46.73A,BMRA,"",25,BOULEVARD,DES NATIONS,69780,MIONS,850498.0902504275,6510924.336082485
46.73A,BMRA,"",139,AVENUE,PIERRE DUMOND,69290,CRAPONNE,833365.0088082689,6517855.931384998
46.73A,BMRA,ZI LES FAVIERES,"",RTE,DE MARCILLY RD 16,69380,LISSIEU,0,0
46.73A,BMRA,"",109,IMPASSE,DE CHAVANNE,69400,ARNAS,833323.9173294862,6547804.894290028
46.73A,BMRA,"",134,VOIE,ROMAINE,69290,CRAPONNE,834894.8412280945,6518227.594945084
46.73A,BMRA,"",9,QUAI,JULES COURMONT,69002,LYON,842833.9700507526,6519610.345847716
46.73A,BMRA,BP 230,6,RUE,JEAN CORONA,69120,VAULX-EN-VELIN,848258.4757131411,6521462.805856315
46.73A,BMRA,ZA LA PLAGNE,387,ROUTE,DU PRE NEUF,69210,BULLY,820941.0,6530127.06
46.73A,BMRA,ZI DU NORD,"",ROUTE,D’IRIGNY,69530,BRIGNAIS,837578.2924384333,6509717.3041924685
46.73A,BMRA,"",2,RUE,DE LYON,69240,COURS,0,0
46.73A,VERTADIER NEGOCE PORTAIL CLOTURE,"",18,RUE,DE LA FRATERNITE,69740,GENAS,857324.88,6516285.24
46.73A,DISTRIBUTION MATERIAUX BOIS PANNEAUX - D.M.B.P.,PARC D'ACTIVITES-BAT C,"",RUE,CHAMP DOLIN,69800,SAINT-PRIEST,852935.5304678259,6514178.454370315
46.73A,DISTRIBUTION MATERIAUX BOIS PANNEAUX - D.M.B.P.,5-7-ZI SUD,5,BOULEVARD,MONGE,69330,MEYZIEU,857431.006954866,6520590.153595096
46.73A,FRANS BONHOMME,"",130,RUE,DU PAISY,69760,LIMONEST,0,0
46.73A,FRANS BONHOMME,"",35,RUE,AMPERE,69680,CHASSIEU,853625.1112427516,6516334.845421459
46.73A,FRANS BONHOMME,"",25,CHEMIN,DE LA MOUCHE,69230,SAINT-GENIS-LAVAL,841246.8916220795,6512230.746593684
46.73A,FRANS BONHOMME,"",2,RUE,AUGUSTIN FRESNEL,69680,CHASSIEU,853144.8509063467,6515652.333870927
46.73A,ARCHITECTURAL CONCEPT,"",175,RUE,DE SAINT MARC,69440,TALUYERS,834542.2901771432,6505678.934724128
46.73A,BMRA,"",3,RUE,CHRISTIAN DE WETT,69100,VILLEURBANNE,847432.206469784,6519059.164114584
46.73A,BMRA,"",23,AVENUE,SIDOINE APOLLINAIRE,69009,LYON,839518.0683343192,6520884.892449268
46.73A,C B C,PORT DU BEAUJOLAIS,175,RUE,DENIS PAPIN,69400,VILLEFRANCHE-SUR-SAONE,834792.99,6545411.65
46.73A,SODICIL,"",7,RUE,DES MARAICHERS,69120,VAULX-EN-VELIN,848215.1042380554,6522713.886767115
46.73A,BOIS PRODUCTIQUE,"",56,ALLEE,DES ECUREUILS,69620,FRONTENAS,827900.372053179,6537689.198852831
46.73A,DIFFUSION 2000,"",33,BOULEVARD,YVES FARGE,69007,LYON,842581.9704277215,6517542.380081952
46.73B,PPG DISTRIBUTION,"",157,IMPASSE,DE CHAVANNE,69400,ARNAS,833392.3656529055,6547732.300506403
46.73B,PPG DISTRIBUTION,C.D. 42,"","",MONINSABLE,69530,BRIGNAIS,0,0
46.73B,AKZO NOBEL DISTRIBUTION,"",200,RUE,LEON BLUM,69100,VILLEURBANNE,848672.1675558408,6519928.870567029
46.73B,PRO DOUCHE,"",30,RUE,DE LA BAISSE,69100,VILLEURBANNE,847140.9864286276,6519879.963139747
46.73B,AKZO NOBEL DISTRIBUTION,"",9,CHEMIN,DU PLATEAU,69570,DARDILLY,837099.9908937118,6523851.043279804
46.73B,LYON NEGOCE CARRELAGE,"",51,ROUTE,DE LYON,69330,JONS,861746.3186940355,6524469.113121909
46.73B,PPG DISTRIBUTION,"",33,AVENUE,DES FRERES MONTGOLFIER,69680,CHASSIEU,853335.3086854593,6515883.368837161
46.73B,PPG DISTRIBUTION,"",4,RUE,AMBROISE PARE,69800,SAINT-PRIEST,853508.5021315075,6515273.281219903
46.73B,PPG DISTRIBUTION,157-159,159,RUE,ALEXIS PERRONCEL,69100,VILLEURBANNE,846496.9166921364,6521383.93706878
46.73B,AKZO NOBEL DISTRIBUTION,DU 19 AU 21,19,COURS,DE LA LIBERTE,69003,LYON,843207.1784343668,6519433.428286566
46.73B,PPG DISTRIBUTION,"",12,CHEMIN,DES GORGES,69570,DARDILLY,837176.4624853877,6524718.165346099
46.73B,PPG DISTRIBUTION,37 ET,39,RUE,DE GERLAND,69007,LYON,843115.1335621142,6517298.523998123
46.73B,AKZO NOBEL DISTRIBUTION,"",540,RUE,BENOIT MULSANT,69400,VILLEFRANCHE-SUR-SAONE,834516.2843622897,6545545.84480088
46.73B,AKZO NOBEL DISTRIBUTION,"",2,AVENUE,DE L'INDUSTRIE,69960,CORBAS,848792.3208840231,6511615.726380326
46.73B,COULEURS DE TOLLENS,217-219,217,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850290.8415462904,6518182.627932713
46.73B,COULEURS DE TOLLENS,ZI NORD ANGLE DE L'AVENUE E. HERRIOT,"",RUE,PAUL CLAUDEL,69400,VILLEFRANCHE-SUR-SAONE,833415.7786332668,6543841.3456877535
46.73B,COULEURS DE TOLLENS,"",65,RUE,DU BOURBONNAIS,69009,LYON,839676.7889004188,6520919.384292308
46.73B,ZOLPAN,"",178,AVENUE,FRANCIS DE PRESSENSE,69200,VENISSIEUX,845611.9286078908,6514570.301939999
46.73B,ZOLPAN,"",17,QUAI,JOSEPH GILLET,69004,LYON,840846.8143166831,6520925.918902464
46.73B,ZOLPAN,"",51,AVENUE,LEFEVRE,69120,VAULX-EN-VELIN,848474.6519210868,6521510.579398813
46.73B,ZOLPAN,"","","",PARC DE CHAVANNES EST,69400,ARNAS,0,0
46.73B,PEINTURES MAESTRIA,CA DU CHATEAU DE L ILE,8,RUE,LOUISE MICHEL,69320,FEYZIN,844253.1894447139,6510204.930156651
46.73B,PEINTURES MAESTRIA,"",5,RUE,DES ALPES,69120,VAULX-EN-VELIN,850449.1545775635,6521979.254302434
46.73B,SCP FRANCE,IMMEUBLE LE PARC DU SOLEIL,151,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,853302.3103852976,6514468.75701929
46.73B,SCP FRANCE,"",4,RUE,GEORGES BESSE,69740,GENAS,855135.6648542963,6514923.706820098
46.73B,LMS SA,"",10,RUE,FULGENCIO GIMENEZ,69120,VAULX-EN-VELIN,849346.8414978927,6518732.332231926
46.73B,CENTRE EST PEINTURES DISTRIBUTION,ZAC DU SANS SOUCI,1111,CHEMIN,DE LA BRUYERE,69760,LIMONEST,837450.6561908148,6525367.117637526
46.73B,CENTRE EST PEINTURES DISTRIBUTION,"",594,BOULEVARD,ALBERT CAMUS,69400,VILLEFRANCHE-SUR-SAONE,833619.8892097772,6543661.417079862
46.73B,CENTRE EST PEINTURES DISTRIBUTION,"",2,RUE,D'YVOURS,69540,IRIGNY,842217.6942760942,6511957.223845988
46.73B,CENTRE EST PEINTURES DISTRIBUTION,"",76,RUE,DE VERDUN,69100,VILLEURBANNE,847500.1112171159,6521797.211567543
46.73B,CREALIS,"",15,ALLEE,DES GINKGOS,69500,BRON,850302.9847753968,6517311.91385038
46.73B,CARROSS,"",16,RUE,DE SERRIERES,69540,IRIGNY,841548.7714977214,6511963.547413693
46.73B,POOLWEB,ZI MI PLAINE,96,AVENUE,DU PROGRES,69680,CHASSIEU,852623.1234217249,6515841.629414757
46.73B,KEIM FRANCE SAS,ZAC LES PORTES DU DAUPHINE,55,CHEMIN,DE MURE,69780,SAINT-PIERRE-DE-CHANDIEU,856436.6248181569,6508973.214598769
46.73B,PEINTURES INDUSTRIE ET BATIMENT,"",231,RUE,DU GENERAL DE GAULLE,69530,BRIGNAIS,836455.6066889676,6508830.191907948
46.73B,PEINTURES INDUSTRIE ET BATIMENT,"",55,AVENUE,PAUL KRUGER,69100,VILLEURBANNE,847526.522716414,6519088.535050178
46.73B,PEINTURES INDUSTRIE ET BATIMENT,"",14,QUAI,ANDRE LASSAGNE,69001,LYON,842809.9889468427,6520620.512569978
46.73B,PEINTURES VALBERT,CELLULE1,369,RUE,BENOIT MULSANT,69400,VILLEFRANCHE-SUR-SAONE,834462.2184898609,6545691.387806027
46.73B,PEINTURES VALBERT,"",8,RUE,PAUL ET MARC BARBEZAT,69150,DECINES-CHARPIEU,850763.5945057697,6519510.017270764
46.73B,PEINTURES VALBERT,"",99,AVENUE,SIDOINE APOLLINAIRE,69009,LYON,839711.7459585334,6520282.028214813
46.73B,TALASSA,ZA DE SACUNY PARK AVENIR,232,AVENUE,MARCEL MERIEUX,69530,BRIGNAIS,837748.833404475,6511148.38226489
46.73B,INTER VERNIS SERVICES,PARC D'ACTIVITE,31,RUE,WILSON,69150,DECINES-CHARPIEU,851054.4392959839,6520307.53620067
46.73B,PROFILTEK FRANCE,CHEZ IN EXTENSO RHONE-ALPES - BP 33,24,CHEMIN,DES VERRIERES,69260,CHARBONNIERES-LES-BAINS,835381.9495447548,6522507.818445303
46.73B,ANG PEINTURE,"",31,RUE,WILSON,69150,DECINES-CHARPIEU,851054.4392959839,6520307.53620067
46.73B,RHONE PIERRES,10 ZAC ST ROMAIN,"",AVENUE,DE LOSSBURG,69480,ANSE,833045.7550759851,6539777.428103148
46.73B,MD2C SOLS DISTRIBUTION,LIEU DIT ZAC DES PIERRES DOREES,294,ALL,DE VIA DOREE BEL AIR,69480,ANSE,0,0
46.73B,RECHERCHE GESTION DEVELOPPEMENTS,"",15,RUE,MAURICE PETIT,69360,SEREZIN-DU-RHONE,842063.498384074,6505145.154400376
46.73B,SEL - O - PUR,"",15,AVENUE,DAMICHON,69290,CRAPONNE,833873.5810388628,6518006.738309531
46.73B,DAVEY WATER PRODUCTS,"",7,RUE,EUGENE HENAFF,69200,VENISSIEUX,847779.9051894159,6511524.974821482
46.73B,CIRKEM,"",75,AVENUE,DU PROGRES,69680,CHASSIEU,852723.6492126771,6516485.758351018
46.73B,CERAMIKA PRESTIGE,"",15,RUE,JEAN CORONA,69120,VAULX-EN-VELIN,848313.5379615054,6521728.403829558
46.73B,DESTOCKPRO,SUPERMARCHE AUX PUCES,"",RUE,TITA COIS,69120,VAULX-EN-VELIN,848014.8321986404,6520852.296813267
46.73B,SARL 4 ANGLES,"",93,IMPASSE,DES GOUTTES,69830,SAINT-GEORGES-DE-RENEINS,833011.8869053249,6551534.048563889
46.73B,ALPES COULEUR DECORATION,ZI LA RIZE,7,RUE,LEONARD DE VINCI,69120,VAULX-EN-VELIN,850081.7404114631,6521782.743451515
46.73B,LUDOVIC PERTOSA DESIGN,"",39,RUE,DE MARSEILLE,69007,LYON,842974.0887686491,6518391.607104907
46.73B,MDW DIFFUSION,"",2,"",VILLAGE,69580,SATHONAY-CAMP,0,0
46.73B,SOCIETE BAT'X SARL,BP 22,10,RUE,PIERRE MENDES FRANCE,69120,VAULX-EN-VELIN,850320.75236441,6521503.5544911865
46.73B,LYON RENOVATEUR,"",23,AVENUE,GENERAL BROSSET,69160,TASSIN-LA-DEMI-LUNE,838237.6976813887,6519110.301277539
46.73B,CERAMIKA DRIVE OUEST,"",13,RUE,DE L’AQUEDUC,69210,LENTILLY,830919.1601628588,6525634.798928246
46.73B,ADAPTA COLOR FRANCE,"",96,BOULEVARD,MARIUS VIVIER-MERLE,69003,LYON,844513.1798166257,6518859.4296478275
46.73B,SHOW ROOM DECO LYON,"",6,RUE,DE GENEVE,69800,SAINT-PRIEST,854826.4858999732,6514229.722742529
46.73B,WATER EXCEPTION,"",10,CHEMIN,DES ECLAPONS,69390,VOURLES,837137.7764128053,6507660.824828668
46.73B,WATER EXCEPTION,"",3,RUE,DES BOUVREUILS,69630,CHAPONOST,835911.2032619077,6512934.701270396
46.73B,CA IMMOBILIER,"",76,ROUTE,DE FLEURIEUX,69380,CHATILLON,829518.0251013607,6529845.889018
46.73B,EQUERRE BUSINESS,PARC DU CHATEAU B03,8,IMPASSE,DU 24 AOUT 1944,69960,CORBAS,848075.1044741299,6511348.460967162
46.73B,CENTRALE DES REVETEMENTS,"",169,CHEMIN,DU GROSSAND,69126,BRINDAS,833145.4604892164,6514998.038192942
46.73B,AL'L FLOR,"",13,RUE,ST GERVAIS,69008,LYON 8EME,0,0
46.73B,WATERBOSS EUROPE,"",24,AVENUE,JOANNES MASSET,69009,LYON,839901.777246777,6520621.374708257
46.73B,COMPTOIR DES PEINTURES DU RHONE,"",33,RUE,ERNEST RENAN,69120,VAULX-EN-VELIN,848123.3031278765,6522396.192955036
46.73B,2BT CONCEPT,5-7,5,RUE,DU TRAITE DE ROME,69780,MIONS,851538.236585212,6510272.724530123
46.73B,URBATEC,"",38,AVENUE,DU 8 MAI 1945,69120,VAULX-EN-VELIN,848076.775362666,6522768.5306526795
46.73B,ESPACE CERAMIC ET DECO,"",98,AVENUE,GENERAL LECLERC,69300,CALUIRE-ET-CUIRE,845057.2484564995,6524710.501741073
46.73B,T.D.A. FRANCE,"",42,ROUTE,DE SAINT-SYMPHORIEN D'OZON,69800,SAINT-PRIEST,849974.0005745399,6511169.349278349
46.73B,AB COLOR DECAPAGE,"",48,RUE,ALEXANDRE DUMAS,69120,VAULX-EN-VELIN,849708.3382535224,6518921.762703781
46.73B,MF COLOR,"",9007,RUE,GABRIEL VOISIN,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
46.73B,STATION COULEURS,ZA DU CAILLOU,1,RUE,JULES VERNE,69630,CHAPONOST,837262.1199886976,6512596.513150603
46.73B,ARTE DEL BAGNO,"",20,RUE,DES AQUEDUCS,69290,CRAPONNE,835227.6827905688,6518078.6330359075
46.73B,ESPACE CROZET,"",27,RUE,DU PROGRES,69800,SAINT-PRIEST,852349.1892653661,6515038.344708871
46.73B,EUROPEINT DISTRIBUTION,"",61,AVENUE,DES BRUYERES,69150,DECINES-CHARPIEU,850989.4164366152,6519379.71356359
46.73B,FRANCE PLAFONDECOR,"",11,RUE,JEAN ZAY,69800,SAINT-PRIEST,848697.8195023718,6513711.811477722
46.73B,LA MAISON DU CCS,"",23,RUE,DE LA LIBERATION,69270,FONTAINES-SUR-SAONE,844588.8375048517,6527566.782075767
46.73B,GROUPE SC,"",24,ROUTE,D'HEYRIEUX,69780,MIONS,853428.2830293395,6510280.297644673
46.73B,LE COMPTOIR DECO,"",193,CHEMIN,DE LA CROIX DE FER,69400,LIMAS,833184.4480615585,6542776.184320853
46.73B,PIERRE & CERAMIQUE,"",24,ROUTE,D'HEYRIEUX,69780,MIONS,853428.2830293395,6510280.297644673
46.73B,SOLUTION PEINTURE DISTRIBUTION,"",17,RUE,LOUIS SAILLANT,69120,VAULX-EN-VELIN,850707.7927168661,6521474.283008059
46.73B,PMVA,"",33,COURS,FRANKLIN ROOSEVELT,69006,LYON,843593.5021467323,6520520.944062462
46.73B,TASSO DESIGN DISTRICT,"",109,AVENUE,DE LANESSAN,69410,CHAMPAGNE-AU-MONT-D'OR,838962.72,6523620.05
46.73B,EUROCER,"",27,RUE,MAURICE FLANDIN,69003,LYON,844826.44,6519608.73
46.73B,PAINTER LAB,"",105,AVENUE,PAUL MARCELLIN,69120,VAULX-EN-VELIN,850037.5986040557,6521614.037879829
46.73B,EAU CONCEPT DEVELOPPEMENT,PARC D'ACTIVITE D'EPINAY,155,ALLEE,DES CAILLOTIERES,69400,GLEIZE,832331.7679169786,6546549.369491456
46.73B,MY GROUP,APP 16,5,AVENUE,JEAN MERMOZ,69008,LYON,845460.9228545896,6516916.889697925
46.73B,CHUGOKU PAINTS B.V,"",1,RUE,DES GASSES,69450,SAINT-CYR-AU-MONT-D'OR,840703.6361920582,6526130.390911024
