NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
46.73A,PLATTARD NEGOCE,PARC DE L ECHANGEUR,"",RUE,CHARLES SEVE,69400,VILLEFRANCHE-SUR-SAONE,835112.9162957815,6543512.073141566
46.73A,EUROPE PARTNER,"",9,RUE,DU DAUPHINE,69800,SAINT-PRIEST,850067.9361284849,6513911.539782269
46.73A,AS PRV INNOV,BATIMENT B,23,AVENUE,RAYMOND DE VEYSSIERE,69130,ECULLY,838305.3440345781,6520962.290735845
46.73A,EUROCOMMERCE BOIS,"",23,RUE,JULES VALLES,69100,VILLEURBANNE,844917.9448362472,6520520.9831567025
46.73A,EST MULTITRAVAUX PRO,"",6,RUE,GAMBETTA,69330,MEYZIEU,855050.9967286328,6520466.222854285
46.73A,SASU EY PROJECTS,"",23,RUE,CREPET,69007,LYON,842732.1541470818,6517147.756357153
46.73A,RECUP'PALETTES,"",14,RUE,DU PROFESSEUR ROUX,69200,VENISSIEUX,844428.1,6516036.95
46.73A,BRICO DISTRIBUTION,PARC TERTIAIRE DU BOIS DIEU IMM. LYS,2,ALL,DES CHEVREUILS,69380,LISSIEU,0,0
46.73A,AB2D,"",1,RUE,MARIETTON,69009,LYON,840481.7147747123,6521081.723461568
46.73A,GEN GEM,"",31,RUE,BOILEAU,69006,LYON,843641.17509418,6520898.625333238
46.73A,ACHATS VENTES PALETTES,"",3,RUE,MARIUS VIVIER-MERLE,69200,VENISSIEUX,848000.7900990718,6512200.014280788
46.73A,LGMH,10-12,10,BOULEVARD,MARIUS VIVIER-MERLE,69003,LYON,844351.0910242146,6519783.145870794
46.73A,CLOTURE METAL,"",125,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,854074.7472363882,6514119.0600442765
46.73A,CLEF,"",6,RUE,DE BRETAGNE,69330,MEYZIEU,856821.7627423196,6520122.647800171
46.73A,[ND],[ND],[ND],[ND],[ND],[ND],ANSE,[ND],[ND]
46.73A,FERMETURE 2002,"",14,QUAI,DE CHAREZIEUX,69270,SAINT-ROMAIN-AU-MONT-D'OR,842107.2459339742,6528212.537664411
46.73A,DP DIFFUSION,ZAC DE CHANTEGRILLET,"",ROUTE,NATIONALE 6,69400,ARNAS,833069.466193385,6546795.989035537
46.73A,VERANTECH FRANCE,"",105,AVENUE,PAUL MARCELLIN,69120,VAULX-EN-VELIN,850037.5986040557,6521614.037879829
46.73A,CERAMICHE CAESAR SPA,"",201,RUE,DUGUESCLIN,69003,LYON,843692.666415738,6519655.832327485
46.73A,SINCORA,"",1,RUE,DE LA GDE ALLEE,69310,OULLINS-PIERRE-BENITE,0,0
46.73A,CONCEPT M,"",1,CHEMIN,DU TRONCHON,69410,CHAMPAGNE-AU-MONT-D'OR,838480.9400305554,6524025.256239574
46.73A,LE CROCODILE BLEU,"",17,CHE,TRACOL,69260,CHARBONNIERES-LES-BAINS,0,0
