NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee,gps_lon,gps_lat
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,OUVERTURES SUR MESURE.FR, 56 RUE DES BIENVENUS 69100 VILLEURBANNE,69100,846417.8666109578,6521243.863241351,"4,884354","45,775083"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GREENCOTTAGES, 76 BOULEVARD DU 11 NOVEMBRE 1918 69100 VILLEURBANNE,69100,845119.0787198602,6521604.453052352,"4,867755","45,778607"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AMINCO, 189 RUE LEON BLUM 69100 VILLEURBANNE,69100,848270.9479996144,6519727.543254457,"4,907722","45,761032"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARMONY, 62 COURS TOLSTOI 69100 VILLEURBANNE,69100,845761.9800266324,6519921.58436323,"4,875512","45,76332"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CERAMIC & BAIN, 14 RUE DOUAUMONT 69100 VILLEURBANNE,69100,847543.0900679628,6522023.521232372,"4,899071","45,781859"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ELZINC FRANCE, 15 RUE JULES VALLES 69100 VILLEURBANNE,69100,844894.8003434881,6520605.636200228,"4,864566","45,769663"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GBE MENUISERIE & FERMETURE, 92 RUE HIPPOLYTE KAHN 69100 VILLEURBANNE,69100,845778.0429182533,6520286.093251943,"4,87583","45,766598"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BC GROUPE SARL, 40 RUE DE BRUXELLES 69100 VILLEURBANNE,69100,845411.5643868294,6521453.532266806,"4,871472","45,777186"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BSM NEGOCE, 88 RUE DE VERDUN 69100 VILLEURBANNE,69100,847529.1634837987,6521691.270730909,"4,898789","45,778871"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BM DIFFUSION, 34 PLACE DES MAISONS NEUVES 69100 VILLEURBANNE,69100,845911.8505181683,6519095.473420032,"4,877187","45,755851"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMCE,  AVENUE PAUL KRUGER 69100 VILLEURBANNE,69100,847627.7491545415,6519050.424151377,"4,89924","45,755076"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA, 3 RUE CHRISTIAN DE WETT 69100 VILLEURBANNE,69100,847432.206469784,6519059.164114584,"4,896728","45,755197"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,6 D SOLUTIONS, 17 PLACE XAVIER RICARD 69110 SAINTE-FOY-LES-LYON,69110,840435.5088848945,6516805.420929438,"4,806084","45,736385"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ALLIANCE EURASIA, 41 AVENUE GRANDCLEMENT 69120 VAULX-EN-VELIN,69120,848599.3583233444,6520678.252491542,"4,912242","45,769519"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EUROFEN'S, 33 RUE ERNEST RENAN 69120 VAULX-EN-VELIN,69120,848123.3031278765,6522396.192955036,"4,906652","45,785088"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MINE ASHEM, 12 CHEMIN CLAUDE DEBUSSY 69120 VAULX-EN-VELIN,69120,849832.503694243,6521787.758611683,"4,928453","45,779237"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TOPALETTE, 2 RUE LUCIE AUBRAC 69120 VAULX-EN-VELIN,69120,849174.7811090362,6521436.255162935,"4,919881","45,776217"
